Wall time,Step,Value
1682965303.5792189,0,1.0
1682965304.5284991,1,1.0
1682965304.678689,2,0.8888888955116272
1682965304.8450966,3,1.0
1682965304.9952717,4,1.0
1682965305.2450988,5,0.8333333134651184
1682965305.41184,6,1.0
1682965305.5781705,7,1.0
1682965305.7614152,8,0.8181818127632141
1682965305.911396,9,0.8888888955116272
1682965306.1445935,10,0.7142857313156128
1682965306.2951045,11,0.8888888955116272
1682965306.4610858,12,0.8999999761581421
1682965306.6276517,13,1.0
1682965306.7775667,14,1.0
1682965306.9773877,15,0.8333333134651184
1682965307.1606894,16,0.7272727489471436
1682965307.2939494,17,0.875
1682965307.4780166,18,0.7272727489471436
1682965307.643759,19,0.800000011920929
1682965307.7768443,20,1.0
1682965308.8602805,21,0.7333333492279053
1682965309.0596244,22,0.8333333134651184
1682965309.2261999,23,1.0
1682965309.3766644,24,1.0
1682965309.5267344,25,1.0
1682965309.7091937,26,0.9090909361839294
1682965309.859176,27,1.0
1682965310.0257583,28,1.0
1682965310.2089865,29,0.8181818127632141
1682965310.3753176,30,0.800000011920929
1682965310.5257773,31,1.0
1682965310.7086985,32,0.9090909361839294
1682965310.9087055,33,0.8333333134651184
1682965311.0751576,34,1.0
1682965311.241452,35,0.8999999761581421
1682965311.3916497,36,1.0
1682965311.5914795,37,0.9166666865348816
1682965311.741397,38,0.8888888955116272
1682965311.8747225,39,1.0
1682965312.0745983,40,0.75
1682965313.0407474,41,0.0
1682965313.207976,42,0.0
1682965313.3738296,43,0.8999999761581421
1682965313.5237732,44,1.0
1682965313.7401638,45,0.7692307829856873
1682965313.939885,46,0.25
1682965314.1068141,47,0.20000000298023224
1682965314.5069916,48,0.75
1682965314.8069344,49,0.47058823704719543
1682965315.0562756,50,0.46666666865348816
1682965315.3896518,51,0.44999998807907104
1682965315.6230962,52,0.4615384638309479
1682965315.8057878,53,0.3636363744735718
1682965316.0390525,54,0.2857142984867096
1682965316.172243,55,0.125
1682965316.355542,56,0.3636363744735718
1682965316.6057503,57,0.4000000059604645
1682965316.8885107,58,0.47058823704719543
1682965317.2050285,59,0.4736842215061188
1682965317.438262,60,0.4285714328289032
1682965318.8874526,61,0.4166666567325592
1682965319.2039592,62,0.4000000059604645
1682965319.4375818,63,0.4285714328289032
1682965319.8702435,64,0.4615384638309479
1682965320.1367612,65,0.375
1682965320.6531343,66,0.5483871102333069
1682965321.9190962,67,0.4868420958518982
1682965322.5353613,68,0.45945945382118225
1682965323.884671,69,0.4444444477558136
1682965325.1006527,70,0.465753436088562
1682965325.9501004,71,0.4901960790157318
1682965329.814681,72,0.4935064911842346
1682965331.6469827,73,0.47706422209739685
1682965333.5459836,74,0.47787609696388245
1682965335.8113291,75,0.4852941036224365
1682965338.5098178,76,0.48148149251937866
1682965341.191648,77,0.48427674174308777
1682965344.7396607,78,0.48826292157173157
1682965347.2216113,79,0.47651007771492004
1682965350.0532503,80,0.48235294222831726
1682965366.1776662,81,0.47863247990608215
1682965368.6262324,82,0.4761904776096344
1682965371.1582036,83,0.4768211841583252
1682965373.8067243,84,0.474683552980423
1682965376.6384058,85,0.47647058963775635
1682965379.1537364,86,0.47333332896232605
1682965382.2020266,87,0.46994534134864807
1682965385.8832352,88,0.47727271914482117
1682965388.9490037,89,0.46994534134864807
1682965392.0639277,90,0.48128342628479004
1682965395.3113527,91,0.47643980383872986
1682965398.809401,92,0.46889951825141907
1682965405.9060292,93,0.48941177129745483
1682965408.9370217,94,0.4751381278038025
1682965413.0181177,95,0.4795081913471222
1682965417.1991105,96,0.47999998927116394
1682965420.7138119,97,0.4739336371421814
1682965424.5116873,98,0.4757709205150604
1682965428.1929662,99,0.479638010263443
1682965431.3078208,100,0.47593581676483154
1682965450.3147266,101,0.4729064106941223
1682965453.295585,102,0.47727271914482117
1682965456.343868,103,0.4754098355770111
1682965459.7253027,104,0.47783252596855164
1682965463.1733887,105,0.47826087474823
1682965466.372015,106,0.4739583432674408
1682965469.3203018,107,0.47457626461982727
1682965472.5182323,108,0.47643980383872986
1682965475.7499275,109,0.47668394446372986
1682965478.7646482,110,0.4751381278038025
1682965482.0303578,111,0.482051283121109
1682965485.2276978,112,0.4791666567325592
1682965488.5260625,113,0.47979798913002014
1682965491.8406754,114,0.48241207003593445
1682965494.9726477,115,0.478723406791687
1682965498.4203227,116,0.4805825352668762
1682965501.0021336,117,0.47096773982048035
1682965503.9172435,118,0.47428572177886963
1682965506.9652567,119,0.4751381278038025
1682965509.9138923,120,0.47727271914482117
